coverage,low_threshold,high_threshold,mosaicism,proportion_normal,proportion_mosaic,proportion_aneuploid,ci_lower_normal,ci_lower_mosaic,ci_lower_aneuploid,ci_upper_normal,ci_upper_mosaic,ci_upper_aneuploid
5,0.1,0.3,0,0.5794,0.4,0.0206,0.5655606159634787,0.3864033798116928,0.01692466657320628,0.5931165823627083,0.4137512908421695,0.0250300135400036
5,0.1,0.3,0.05,0.564,0.4214,0.0146,0.5501107398984807,0.40767925486080314,0.011539674358873219,0.5777902796127692,0.43524230928817503,0.0184278796170552
5,0.1,0.3,0.1,0.514,0.4676,0.0184,0.5000409618030106,0.4537005073369877,0.014937697603248945,0.5279373874392418,0.4815495993168752,0.022621498696303654
5,0.1,0.3,0.15,0.4414,0.5264,0.0322,0.42758707536589263,0.5124452555188711,0.027562145878560405,0.4553035527657457,0.5403139170444599,0.03757075013709705
5,0.1,0.3,0.2,0.3404,0.5976,0.062,0.3272939700073475,0.5838371719367286,0.05555109769306569,0.35375294542272645,0.6112118705925212,0.06913145353124091
5,0.1,0.3,0.25,0.2596,0.6298,0.1106,0.24753738971176814,0.6162205542666864,0.10210726259625474,0.272034757312272,0.6431786618527219,0.11969749445528247
5,0.1,0.3,0.3,0.1692,0.6606,0.1702,0.15896506533899593,0.647255637757664,0.1599399297577861,0.17994773031841363,0.6736958983846622,0.18097130434569678
5,0.1,0.4,0,0.5794,0.4186,0.002,0.5655606159634787,0.40489398575069374,0.0010166569034496284,0.5931165823627083,0.43243190976685375,0.003806963304927508
5,0.1,0.4,0.05,0.564,0.435,0.001,0.5501107398984807,0.42121409535416665,3.6821658415081435e-4,0.5777902796127692,0.4488864318950236,0.0024781131276152206
5,0.1,0.4,0.1,0.514,0.485,0.001,0.5000409618030106,0.4710641890436985,3.6821658415081435e-4,0.5279373874392418,0.498959008206385,0.0024781131276152206
5,0.1,0.4,0.15,0.4414,0.5576,0.001,0.42758707536589263,0.54369398152832,3.6821658415081435e-4,0.4553035527657457,0.5714169370463703,0.0024781131276152206
5,0.1,0.4,0.2,0.3404,0.6558,0.0038,0.3272939700073475,0.6424150304458878,0.002356146324334408,0.35375294542272645,0.6689439378984126,0.00604930621157831
5,0.1,0.4,0.25,0.2596,0.7304,0.01,0.24753738971176814,0.7178252593793505,0.007507393306359603,0.272034757312272,0.7426181088810625,0.013271973693145441
5,0.1,0.4,0.3,0.1692,0.8064,0.0244,0.15896506533899593,0.7951124457648361,0.020383233072917895,0.17994773031841363,0.8172128135572233,0.02916401196816452
5,0.15,0.3,0,0.7754,0.204,0.0206,0.7635220637878141,0.1929618013394556,0.01692466657320628,0.7868514324197827,0.21549674473250832,0.0250300135400036
5,0.15,0.3,0.05,0.7636,0.2218,0.0146,0.7515221793852858,0.21040226863656808,0.011539674358873219,0.7752696532235864,0.23362858794944327,0.0184278796170552
5,0.15,0.3,0.1,0.7232,0.2584,0.0184,0.7105293900710351,0.24635659561201634,0.014937697603248945,0.7355251457198001,0.2708174136475876,0.022621498696303654
5,0.15,0.3,0.15,0.6336,0.3342,0.0322,0.6200463390288466,0.32115784024232014,0.027562145878560405,0.6469469956836329,0.3474986758963824,0.03757075013709705
5,0.15,0.3,0.2,0.5248,0.4132,0.062,0.510844221706553,0.39952367290315943,0.05555109769306569,0.5387174252920203,0.42701057622710975,0.06913145353124091
5,0.15,0.3,0.25,0.4262,0.4632,0.1106,0.41245504994218324,0.44931235997273106,0.10210726259625474,0.44005908920427406,0.4771445515382297,0.11969749445528247
5,0.15,0.3,0.3,0.303,0.5268,0.1702,0.29031850673182336,0.5128455362102845,0.1599399297577861,0.3159863413424345,0.5407130177428456,0.18097130434569678
5,0.15,0.4,0,0.7754,0.2226,0.002,0.7635220637878141,0.2111868487070279,0.0010166569034496284,0.7868514324197827,0.23444276415014445,0.003806963304927508
5,0.15,0.4,0.05,0.7636,0.2354,0.001,0.7515221793852858,0.22374834331813973,3.6821658415081435e-4,0.7752696532235864,0.24746137755790137,0.0024781131276152206
5,0.15,0.4,0.1,0.7232,0.2758,0.001,0.7105293900710351,0.2634894786981585,3.6821658415081435e-4,0.7355251457198001,0.28845753639233496,0.0024781131276152206
5,0.15,0.4,0.15,0.6336,0.3654,0.001,0.6200463390288466,0.352061485805285,3.6821658415081435e-4,0.6469469956836329,0.3789467272716422,0.0024781131276152206
5,0.15,0.4,0.2,0.5248,0.4714,0.0038,0.510844221706553,0.45749113924591767,0.002356146324334408,0.5387174252920203,0.48535309055407944,0.00604930621157831
5,0.15,0.4,0.25,0.4262,0.5638,0.01,0.41245504994218324,0.5499101810693294,0.007507393306359603,0.44005908920427406,0.577591147792941,0.013271973693145441
5,0.15,0.4,0.3,0.303,0.6726,0.0244,0.29031850673182336,0.6593637607194569,0.020383233072917895,0.3159863413424345,0.6855691920276223,0.02916401196816452
5,0.2,0.3,0,0.8932,0.0862,0.0206,0.8842316877298091,0.07863900078093837,0.01692466657320628,0.9015575465359565,0.09440450656663692,0.0250300135400036
5,0.2,0.3,0.05,0.8898,0.0956,0.0146,0.8807159489860901,0.08766128183009227,0.011539674358873219,0.898278661842092,0.10416724541595006,0.0184278796170552
5,0.2,0.3,0.1,0.8638,0.1178,0.0184,0.8539100767148328,0.10905987845504468,0.014937697603248945,0.8731254728795026,0.12713351426082367,0.022621498696303654
5,0.2,0.3,0.15,0.7932,0.1746,0.0322,0.7816489152070085,0.16423087007257153,0.027562145878560405,0.8042968966023438,0.1854734953241827,0.03757075013709705
5,0.2,0.3,0.2,0.7048,0.2332,0.062,0.6919023662175167,0.2215882553438679,0.05555109769306569,0.717380697083581,0.24522488348125968,0.06913145353124091
5,0.2,0.3,0.25,0.6046,0.2848,0.1106,0.5908717706764939,0.2723606198698731,0.10210726259625474,0.61816644149648,0.2975724391049581,0.11969749445528247
5,0.2,0.3,0.3,0.4876,0.3422,0.1702,0.47366020549623766,0.32907589697890727,0.1599399297577861,0.5015589708775917,0.35556823135115834,0.18097130434569678
5,0.2,0.4,0,0.8932,0.1048,0.002,0.8842316877298091,0.09651495848990638,0.0010166569034496284,0.9015575465359565,0.11369897302127505,0.003806963304927508
5,0.2,0.4,0.05,0.8898,0.1092,0.001,0.8807159489860901,0.10075668514083098,3.6821658415081435e-4,0.898278661842092,0.11825028470834595,0.0024781131276152206
5,0.2,0.4,0.1,0.8638,0.1352,0.001,0.8539100767148328,0.12590475030488113,3.6821658415081435e-4,0.8731254728795026,0.1450612699241124,0.0024781131276152206
5,0.2,0.4,0.15,0.7932,0.2058,0.001,0.7816489152070085,0.19472397254601134,3.6821658415081435e-4,0.8042968966023438,0.21733177192884978,0.0024781131276152206
5,0.2,0.4,0.2,0.7048,0.2914,0.0038,0.6919023662175167,0.2788700101606662,0.002356146324334408,0.717380697083581,0.30425281680445876,0.00604930621157831
5,0.2,0.4,0.25,0.6046,0.3854,0.01,0.5908717706764939,0.37190349816646556,0.007507393306359603,0.61816644149648,0.39907376293451463,0.013271973693145441
5,0.2,0.4,0.3,0.4876,0.488,0.0244,0.47366020549623766,0.47405962590117967,0.020383233072917895,0.5015589708775917,0.5019589318773511,0.02916401196816452
10,0.1,0.3,0,0.7504,0.2492,4e-4,0.7381134365827843,0.23730782905782993,6.928663015677068e-5,0.7622988949462223,0.26148046040860456,0.0016119628870596963
10,0.1,0.3,0.05,0.7114,0.2878,8e-4,0.6985808868071958,0.2753190310836695,2.5630421659247497e-4,0.7238919456201546,0.3006093767282396,0.002198103497405207
10,0.1,0.3,0.1,0.6106,0.389,4e-4,0.5969037348920385,0.37547763257688127,6.928663015677068e-5,0.624125193514853,0.4026940579548274,0.0016119628870596963
10,0.1,0.3,0.15,0.4706,0.5242,0.0052,0.45669304466274346,0.5102438707104557,0.0034700443714875255,0.4845524223648008,0.5381187041991166,0.007727095036053292
10,0.1,0.3,0.2,0.3126,0.6718,0.0156,0.29980039769377065,0.6585562554843204,0.012429091191033706,0.32568957538588955,0.6847779362910655,0.01953617728591232
10,0.1,0.3,0.25,0.1852,0.7804,0.0344,0.17457805754757494,0.768610715527362,0.02960214514557925,0.19630977372931824,0.7917550073231021,0.03992684942939593
10,0.1,0.3,0.3,0.093,0.8174,0.0896,0.08516320825632027,0.8063469200206119,0.08189938812551435,0.1014694549345191,0.827961194794331,0.09793869197914758
10,0.1,0.4,0,0.7504,0.2496,0,0.7381134365827843,0.2377011050537777,0,0.7622988949462223,0.2618865634172157,9.571082871656929e-4
10,0.1,0.4,0.05,0.7114,0.2886,0,0.6985808868071958,0.2761080543798456,0,0.7238919456201546,0.30141911319280434,9.571082871656929e-4
10,0.1,0.4,0.1,0.6106,0.3894,0,0.5969037348920385,0.3758748064851472,0,0.624125193514853,0.4030962651079616,9.571082871656929e-4
10,0.1,0.4,0.15,0.4706,0.5294,0,0.45669304466274346,0.5154475776351993,0,0.4845524223648008,0.5433069553372566,9.571082871656929e-4
10,0.1,0.4,0.2,0.3126,0.6874,0,0.29980039769377065,0.6743104246141105,0,0.32568957538588955,0.7001996023062294,9.571082871656929e-4
10,0.1,0.4,0.25,0.1852,0.8146,2e-4,0.17457805754757494,0.8034858983953439,1.0440117502419668e-5,0.19630977372931824,0.8252265821250993,0.0012979546937333195
10,0.1,0.4,0.3,0.093,0.9046,0.0024,0.08516320825632027,0.8960402109565411,0.0013009109479966618,0.1014694549345191,0.912530943834888,0.00431731618269452
10,0.15,0.3,0,0.916,0.0836,4e-4,0.9078842286334612,0.07614819383111444,6.928663015677068e-5,0.9234687462886988,0.09169947136893945,0.0016119628870596963
10,0.15,0.3,0.05,0.8996,0.0996,8e-4,0.8908569893244911,0.0915080407423804,2.5630421659247497e-4,0.9077221057479664,0.10831413344136756,0.002198103497405207
10,0.15,0.3,0.1,0.8462,0.1534,4e-4,0.8358324612794886,0.14358027864973574,6.928663015677068e-5,0.8560306699712735,0.16375721606104476,0.0016119628870596963
10,0.15,0.3,0.15,0.7146,0.2802,0.0052,0.7018201193953123,0.2678257078079403,0.0034700443714875255,0.7270477518963591,0.2929144837878676,0.007727095036053292
10,0.15,0.3,0.2,0.5554,0.429,0.0156,0.5414887557594565,0.4152415397782425,0.012429091191033706,0.569225565541525,0.44286826822803105,0.01953617728591232
10,0.15,0.3,0.25,0.405,0.5606,0.0344,0.39137198965377257,0.5467015482714251,0.02960214514557925,0.4187749452946951,0.5744047301599667,0.03992684942939593
10,0.15,0.3,0.3,0.2408,0.6696,0.0896,0.22905222886866228,0.6563358363855762,0.08189938812551435,0.2529491041152012,0.6826017626150792,0.09793869197914758
10,0.15,0.4,0,0.916,0.084,0,0.9078842286334612,0.07653125371130126,0,0.9234687462886988,0.09211577136653898,9.571082871656929e-4
10,0.15,0.4,0.05,0.8996,0.1004,0,0.8908569893244911,0.09227789425203349,0,0.9077221057479664,0.10914301067550893,9.571082871656929e-4
10,0.15,0.4,0.1,0.8462,0.1538,0,0.8358324612794886,0.14396933002872644,0,0.8560306699712735,0.1641675387205114,9.571082871656929e-4
10,0.15,0.4,0.15,0.7146,0.2854,0,0.7018201193953123,0.27295224810364105,0,0.7270477518963591,0.2981798806046878,9.571082871656929e-4
10,0.15,0.4,0.2,0.5554,0.4446,0,0.5414887557594565,0.430774434458475,0,0.569225565541525,0.4585112442405435,9.571082871656929e-4
10,0.15,0.4,0.25,0.405,0.5948,2e-4,0.39137198965377257,0.5810241390068894,1.0440117502419668e-5,0.4187749452946951,0.6084292354655232,0.0012979546937333195
10,0.15,0.4,0.3,0.2408,0.7568,0.0024,0.22905222886866228,0.7446127380078149,0.0013009109479966618,0.2529491041152012,0.7685896562484653,0.00431731618269452
10,0.2,0.3,0,0.9804,0.0192,4e-4,0.9760632305313052,0.015658762497527668,6.928663015677068e-5,0.9839800596276763,0.023498769638964093,0.0016119628870596963
10,0.2,0.3,0.05,0.9754,0.0238,8e-4,0.970619208746712,0.019835168258709623,2.5630421659247497e-4,0.9794339274184152,0.028513225794942247,0.002198103497405207
10,0.2,0.3,0.1,0.9524,0.0472,4e-4,0.9460372626839771,0.04156750736571055,6.928663015677068e-5,0.9580563756462922,0.0535395258772393,0.0016119628870596963
10,0.2,0.3,0.15,0.889,0.1058,0.0052,0.8798890978932857,0.0974785871201868,0.0034700443714875255,0.8975067770905152,0.11473376120633395,0.007727095036053292
10,0.2,0.3,0.2,0.7908,0.1936,0.0156,0.7792029878714545,0.1827871864427768,0.012429091191033706,0.8019465585675297,0.20488755423516392,0.01953617728591232
10,0.2,0.3,0.25,0.6614,0.3042,0.0344,0.6480625512208373,0.29150338717913227,0.02960214514557925,0.6744877461592675,0.31719960132672625,0.03992684942939593
10,0.2,0.3,0.3,0.4836,0.4268,0.0896,0.46966648927503396,0.41305211716959217,0.08189938812551435,0.4975588730677035,0.4406610938686796,0.09793869197914758
10,0.2,0.4,0,0.9804,0.0196,0,0.9760632305313052,0.01601994037232373,0,0.9839800596276763,0.02393676946869499,9.571082871656929e-4
10,0.2,0.4,0.05,0.9754,0.0246,0,0.970619208746712,0.020566072581584813,0,0.9794339274184152,0.029380791253288137,9.571082871656929e-4
10,0.2,0.4,0.1,0.9524,0.0476,0,0.9460372626839771,0.04194362435370784,0,0.9580563756462922,0.05396273731602294,9.571082871656929e-4
10,0.2,0.4,0.15,0.889,0.111,0,0.8798890978932857,0.10249322290948482,0,0.8975067770905152,0.12011090210671437,9.571082871656929e-4
10,0.2,0.4,0.2,0.7908,0.2092,0,0.7792029878714545,0.19805344143247025,0,0.8019465585675297,0.22079701212854552,9.571082871656929e-4
10,0.2,0.4,0.25,0.6614,0.3384,2e-4,0.6480625512208373,0.3253142984257454,1.0440117502419668e-5,0.6744877461592675,0.351735713887521,0.0012979546937333195
10,0.2,0.4,0.3,0.4836,0.514,0.0024,0.46966648927503396,0.5000409618030106,0.0013009109479966618,0.4975588730677035,0.5279373874392418,0.00431731618269452
20,0.1,0.3,0,0.8908,0.1092,0,0.8817497152916541,0.10075668514083098,0,0.8992433148591691,0.11825028470834595,9.571082871656929e-4
20,0.1,0.3,0.05,0.8488,0.1512,0,0.8384999827945065,0.14144092097602137,0,0.8585590790239788,0.16150001720549356,9.571082871656929e-4
20,0.1,0.3,0.1,0.6898,0.3102,0,0.67673562659869,0.29742931810070555,0,0.7025706818992945,0.32326437340131003,9.571082871656929e-4
20,0.1,0.3,0.15,0.4738,0.5262,0,0.4598856366411812,0.5122451185094004,0,0.4877548814905998,0.5401143633588188,9.571082871656929e-4
20,0.1,0.3,0.2,0.2556,0.7422,0.0022,0.24360187239174322,0.7297913026745368,0.0011575142919603768,0.26797648243519895,0.7542337569144884,0.0040632595681132
20,0.1,0.3,0.25,0.1058,0.8886,0.0056,0.0974785871201868,0.8794757258630406,0.003795580724449859,0.11473376120633395,0.8971207810719093,0.008199607091028351
20,0.1,0.3,0.3,0.032,0.9402,0.0278,0.02737698364239119,0.9331784441143857,0.023501033021175333,0.03735626960162406,0.9465354049224063,0.03283983904140027
20,0.1,0.4,0,0.8908,0.1092,0,0.8817497152916541,0.10075668514083098,0,0.8992433148591691,0.11825028470834595,9.571082871656929e-4
20,0.1,0.4,0.05,0.8488,0.1512,0,0.8384999827945065,0.14144092097602137,0,0.8585590790239788,0.16150001720549356,9.571082871656929e-4
20,0.1,0.4,0.1,0.6898,0.3102,0,0.67673562659869,0.29742931810070555,0,0.7025706818992945,0.32326437340131003,9.571082871656929e-4
20,0.1,0.4,0.15,0.4738,0.5262,0,0.4598856366411812,0.5122451185094004,0,0.4877548814905998,0.5401143633588188,9.571082871656929e-4
20,0.1,0.4,0.2,0.2556,0.7444,0,0.24360187239174322,0.732023517564801,0,0.26797648243519895,0.7563981276082568,9.571082871656929e-4
20,0.1,0.4,0.25,0.1058,0.8942,0,0.0974785871201868,0.8852662387936662,0,0.11473376120633395,0.9025214128798132,9.571082871656929e-4
20,0.1,0.4,0.3,0.032,0.968,0,0.02737698364239119,0.9626437303983759,0,0.03735626960162406,0.9726230163576088,9.571082871656929e-4
20,0.15,0.3,0,0.982,0.018,0,0.977817799088804,0.014577837965458513,0,0.9854221620345415,0.022182200911196073,9.571082871656929e-4
20,0.15,0.3,0.05,0.9782,0.0218,0,0.9736612062824996,0.018013494899696152,0,0.9819865051003038,0.026338793717500385,9.571082871656929e-4
20,0.15,0.3,0.1,0.9156,0.0844,0,0.907467980305729,0.07691436542882343,0,0.9230856345711765,0.09253201969427112,9.571082871656929e-4
20,0.15,0.3,0.15,0.8018,0.1982,0,0.7904184665683551,0.1872860425974833,0,0.8127139574025167,0.20958153343164485,9.571082871656929e-4
20,0.15,0.3,0.2,0.5832,0.4146,0.0022,0.5693750141970053,0.40091581428537376,0.0011575142919603768,0.5968963057865895,0.4284162690596553,0.0040632595681132
20,0.15,0.3,0.25,0.364,0.6304,0.0056,0.35067346406093647,0.6168245663917004,0.003795580724449859,0.37753691595744604,0.643773721104511,0.008199607091028351
20,0.15,0.3,0.3,0.1708,0.8014,0.0278,0.16052491105191263,0.7900104044687047,0.023501033021175333,0.18158538620689343,0.8123226423885739,0.03283983904140027
20,0.15,0.4,0,0.982,0.018,0,0.977817799088804,0.014577837965458513,0,0.9854221620345415,0.022182200911196073,9.571082871656929e-4
20,0.15,0.4,0.05,0.9782,0.0218,0,0.9736612062824996,0.018013494899696152,0,0.9819865051003038,0.026338793717500385,9.571082871656929e-4
20,0.15,0.4,0.1,0.9156,0.0844,0,0.907467980305729,0.07691436542882343,0,0.9230856345711765,0.09253201969427112,9.571082871656929e-4
20,0.15,0.4,0.15,0.8018,0.1982,0,0.7904184665683551,0.1872860425974833,0,0.8127139574025167,0.20958153343164485,9.571082871656929e-4
20,0.15,0.4,0.2,0.5832,0.4168,0,0.5693750141970053,0.4031036942134107,0,0.5968963057865895,0.4306249858029949,9.571082871656929e-4
20,0.15,0.4,0.25,0.364,0.636,0,0.35067346406093647,0.622463084042554,0,0.37753691595744604,0.6493265359390635,9.571082871656929e-4
20,0.15,0.4,0.3,0.1708,0.8292,0,0.16052491105191263,0.8184146137931066,0,0.18158538620689343,0.8394750889480875,9.571082871656929e-4
20,0.2,0.3,0,0.9986,0.0014,0,0.9969787557046904,6.136048591048461e-4,0,0.9993863951408952,0.0030212442953097282,9.571082871656929e-4
20,0.2,0.3,0.05,0.9986,0.0014,0,0.9969787557046904,6.136048591048461e-4,0,0.9993863951408952,0.0030212442953097282,9.571082871656929e-4
20,0.2,0.3,0.1,0.9896,0.0104,0,0.9862750960910246,0.007853317532456293,0,0.9921466824675438,0.013724903908975537,9.571082871656929e-4
20,0.2,0.3,0.15,0.959,0.041,0,0.9530359092810912,0.03575345092202922,0,0.9642465490779707,0.04696409071890876,9.571082871656929e-4
20,0.2,0.3,0.2,0.8728,0.125,0.0022,0.8631743162917033,0.1160232097514289,0.0011575142919603768,0.8818470927350245,0.1345588422434448,0.0040632595681132
20,0.2,0.3,0.25,0.7204,0.274,0.0056,0.7076931942256048,0.26171599823621794,0.003795580724449859,0.7327656837598917,0.28663380857245957,0.008199607091028351
20,0.2,0.3,0.3,0.4836,0.4886,0.0278,0.46966648927503396,0.4746587731347269,0.023501033021175333,0.4975588730677035,0.502558856751332,0.03283983904140027
20,0.2,0.4,0,0.9986,0.0014,0,0.9969787557046904,6.136048591048461e-4,0,0.9993863951408952,0.0030212442953097282,9.571082871656929e-4
20,0.2,0.4,0.05,0.9986,0.0014,0,0.9969787557046904,6.136048591048461e-4,0,0.9993863951408952,0.0030212442953097282,9.571082871656929e-4
20,0.2,0.4,0.1,0.9896,0.0104,0,0.9862750960910246,0.007853317532456293,0,0.9921466824675438,0.013724903908975537,9.571082871656929e-4
20,0.2,0.4,0.15,0.959,0.041,0,0.9530359092810912,0.03575345092202922,0,0.9642465490779707,0.04696409071890876,9.571082871656929e-4
20,0.2,0.4,0.2,0.8728,0.1272,0,0.8631743162917033,0.11815290726497561,0,0.8818470927350245,0.1368256837082968,9.571082871656929e-4
20,0.2,0.4,0.25,0.7204,0.2796,0,0.7076931942256048,0.26723431624010835,0,0.7327656837598917,0.2923068057743953,9.571082871656929e-4
20,0.2,0.4,0.3,0.4836,0.5164,0,0.46966648927503396,0.5024411269322965,0,0.4975588730677035,0.530333510724966,9.571082871656929e-4
50,0.1,0.3,0,0.9888,0.0112,0,0.9853722385646431,0.00854825325153389,0,0.9914517467484661,0.014627761435357026,9.571082871656929e-4
50,0.1,0.3,0.05,0.9596,0.0404,0,0.9536739289239953,0.03519249880624089,0,0.9648075011937592,0.04632607107600476,9.571082871656929e-4
50,0.1,0.3,0.1,0.7838,0.2162,0,0.7720723869625878,0.2049119513522572,0,0.7950880486477429,0.22792761303741224,9.571082871656929e-4
50,0.1,0.3,0.15,0.4534,0.5466,0,0.4395426469004961,0.532670578754794,0,0.46732942124520604,0.560457353099504,9.571082871656929e-4
50,0.1,0.3,0.2,0.1426,0.8574,0,0.13308509308243963,0.8473306822685001,0,0.1526693177315,0.8669149069175605,9.571082871656929e-4
50,0.1,0.3,0.25,0.0204,0.9796,0,0.016743523638367182,0.9751884404078967,0,0.02481155959210351,0.9832564763616329,9.571082871656929e-4
50,0.1,0.3,0.3,0.002,0.9966,0.0014,0.0010166569034496284,0.9944387054935871,6.136048591048461e-4,0.003806963304927508,0.9979528364216733,0.0030212442953097282
50,0.1,0.4,0,0.9888,0.0112,0,0.9853722385646431,0.00854825325153389,0,0.9914517467484661,0.014627761435357026,9.571082871656929e-4
