coverage,low_threshold,high_threshold,mosaicism,proportion_normal,ci_lower_normal,ci_upper_normal,is_critical,ci_above_critical
5,0.1,0.3,0.15,0.4414,0.42758707536589263,0.4553035527657457,FALSE,FALSE
5,0.1,0.3,0.2,0.3404,0.3272939700073475,0.35375294542272645,FALSE,FALSE
5,0.1,0.4,0.15,0.4414,0.42758707536589263,0.4553035527657457,FALSE,FALSE
5,0.1,0.4,0.2,0.3404,0.3272939700073475,0.35375294542272645,FALSE,FALSE
5,0.15,0.3,0.15,0.6336,0.6200463390288466,0.6469469956836329,TRUE,TRUE
5,0.15,0.3,0.2,0.5248,0.510844221706553,0.5387174252920203,TRUE,TRUE
5,0.15,0.4,0.15,0.6336,0.6200463390288466,0.6469469956836329,TRUE,TRUE
5,0.15,0.4,0.2,0.5248,0.510844221706553,0.5387174252920203,TRUE,TRUE
5,0.2,0.3,0.15,0.7932,0.7816489152070085,0.8042968966023438,TRUE,TRUE
5,0.2,0.3,0.2,0.7048,0.6919023662175167,0.717380697083581,TRUE,TRUE
5,0.2,0.4,0.15,0.7932,0.7816489152070085,0.8042968966023438,TRUE,TRUE
5,0.2,0.4,0.2,0.7048,0.6919023662175167,0.717380697083581,TRUE,TRUE
10,0.1,0.3,0.15,0.4706,0.45669304466274346,0.4845524223648008,FALSE,FALSE
10,0.1,0.3,0.2,0.3126,0.29980039769377065,0.32568957538588955,FALSE,FALSE
10,0.1,0.4,0.15,0.4706,0.45669304466274346,0.4845524223648008,FALSE,FALSE
10,0.1,0.4,0.2,0.3126,0.29980039769377065,0.32568957538588955,FALSE,FALSE
10,0.15,0.3,0.15,0.7146,0.7018201193953123,0.7270477518963591,TRUE,TRUE
10,0.15,0.3,0.2,0.5554,0.5414887557594565,0.569225565541525,TRUE,TRUE
10,0.15,0.4,0.15,0.7146,0.7018201193953123,0.7270477518963591,TRUE,TRUE
10,0.15,0.4,0.2,0.5554,0.5414887557594565,0.569225565541525,TRUE,TRUE
10,0.2,0.3,0.15,0.889,0.8798890978932857,0.8975067770905152,TRUE,TRUE
10,0.2,0.3,0.2,0.7908,0.7792029878714545,0.8019465585675297,TRUE,TRUE
10,0.2,0.4,0.15,0.889,0.8798890978932857,0.8975067770905152,TRUE,TRUE
10,0.2,0.4,0.2,0.7908,0.7792029878714545,0.8019465585675297,TRUE,TRUE
20,0.1,0.3,0.15,0.4738,0.4598856366411812,0.4877548814905998,FALSE,FALSE
20,0.1,0.3,0.2,0.2556,0.24360187239174322,0.26797648243519895,FALSE,FALSE
20,0.1,0.4,0.15,0.4738,0.4598856366411812,0.4877548814905998,FALSE,FALSE
20,0.1,0.4,0.2,0.2556,0.24360187239174322,0.26797648243519895,FALSE,FALSE
20,0.15,0.3,0.15,0.8018,0.7904184665683551,0.8127139574025167,TRUE,TRUE
20,0.15,0.3,0.2,0.5832,0.5693750141970053,0.5968963057865895,TRUE,TRUE
20,0.15,0.4,0.15,0.8018,0.7904184665683551,0.8127139574025167,TRUE,TRUE
20,0.15,0.4,0.2,0.5832,0.5693750141970053,0.5968963057865895,TRUE,TRUE
20,0.2,0.3,0.15,0.959,0.9530359092810912,0.9642465490779707,TRUE,TRUE
20,0.2,0.3,0.2,0.8728,0.8631743162917033,0.8818470927350245,TRUE,TRUE
20,0.2,0.4,0.15,0.959,0.9530359092810912,0.9642465490779707,TRUE,TRUE
20,0.2,0.4,0.2,0.8728,0.8631743162917033,0.8818470927350245,TRUE,TRUE
50,0.1,0.3,0.15,0.4534,0.4395426469004961,0.46732942124520604,FALSE,FALSE
50,0.1,0.3,0.2,0.1426,0.13308509308243963,0.1526693177315,FALSE,FALSE
50,0.1,0.4,0.15,0.4534,0.4395426469004961,0.46732942124520604,FALSE,FALSE
50,0.1,0.4,0.2,0.1426,0.13308509308243963,0.1526693177315,FALSE,FALSE
50,0.15,0.3,0.15,0.8994,0.8906497954973581,0.9075296168214083,TRUE,TRUE
50,0.15,0.3,0.2,0.6406,0.6270961801383311,0.6538863195874657,TRUE,TRUE
50,0.15,0.4,0.15,0.8994,0.8906497954973581,0.9075296168214083,TRUE,TRUE
50,0.15,0.4,0.2,0.6406,0.6270961801383311,0.6538863195874657,TRUE,TRUE
50,0.2,0.3,0.15,0.9966,0.9944387054935871,0.9979528364216733,TRUE,TRUE
50,0.2,0.3,0.2,0.9634,0.9577225273553002,0.9683523334486637,TRUE,TRUE
50,0.2,0.4,0.15,0.9966,0.9944387054935871,0.9979528364216733,TRUE,TRUE
50,0.2,0.4,0.2,0.9634,0.9577225273553002,0.9683523334486637,TRUE,TRUE
